season,age,gender,ta,thermal_sensation,BMI
1.0,31.0,1.0,24.0,-2.0,23.16487435308116
1.0,24.0,1.0,23.1,0.0,20.610168201928403
1.0,24.0,2.0,23.1,1.0,22.31583017274131
1.0,45.0,1.0,23.1,-0.5,23.83345021105277
1.0,38.0,1.0,24.0,1.0,23.486731134256964
1.0,45.0,1.0,24.0,0.5,24.149923436428722
1.0,31.0,1.0,24.0,-0.5,24.5062602339764
1.0,31.0,1.0,24.0,0.0,23.52654131790789
1.0,60.0,1.0,23.1,0.0,23.07641723356009
1.0,38.0,1.0,23.4,0.0,29.269819014905003
