Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject height (cm),Subject weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database,BMI
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,28.6,0.0,1.0,1.0,no change,,more,,1.5,52.0,29.64,0.68,1.0,,,,,30.6,87.1,,,,,,,,,,,,,30.2,86.4,,,,,34.0,,,0.12,23.62,,,,,,,,71.0,,,0.0,1.0,,31.5,88.7,Database 2,4188.421341103224
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,23.8,0.0,2.0,1.0,cooler,,more,,1.5,52.0,29.64,0.68,1.0,,,,,30.6,87.1,,,,,,,,,,,,,30.2,86.4,,,,,34.0,,,0.12,23.62,,,,,,,,78.0,,,0.0,1.0,,31.5,88.7,Database 2,3944.7400108537695
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,23.8,0.0,2.0,1.0,cooler,,more,,1.5,52.0,29.64,0.68,1.0,,,,,30.6,87.1,,,,,,,,,,,,,30.2,86.4,,,,,34.0,,,0.12,23.62,,,,,,,,73.0,,,0.0,1.0,,31.5,88.7,Database 2,3944.7400108537695
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,23.8,0.0,2.0,1.0,cooler,,more,,1.5,52.0,29.64,0.68,1.0,,,,,30.6,87.1,,,,,,,,,,,,,30.2,86.4,,,,,34.0,,,0.12,23.62,,,,,,,,68.0,,,0.0,1.0,,31.5,88.7,Database 2,3944.7400108537695
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,25.8,0.0,-1.0,1.0,warmer,,more,,1.5,52.0,29.64,0.68,1.0,,,,,30.6,87.1,,,,,,,,,,,,,30.2,86.4,,,,,34.0,,,0.12,23.62,,,,,,,,65.0,,,0.0,1.0,,31.5,88.7,Database 2,3806.3316774469217
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,23.8,0.0,2.0,1.0,cooler,,no change,,1.5,52.0,29.64,0.68,1.0,,,,,30.6,87.1,,,,,,,,,,,,,30.2,86.4,,,,,34.0,,,0.12,23.62,,,,,,,,83.0,,,0.0,1.0,,31.5,88.7,Database 2,3944.7400108537695
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,27.8,1.0,2.0,0.0,cooler,,more,,0.0,5.0,25.26,0.72,1.0,,,,,25.3,77.5,,,,,,,,,,,,,24.9,76.8,,,,,42.0,,,0.08,15.75,,,,,,,,48.0,,,0.0,0.0,,31.5,88.7,Database 2,3013.00483109194
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,30.8,1.0,-2.0,0.0,warmer,,more,,0.0,5.0,25.26,0.72,1.0,,,,,25.3,77.5,,,,,,,,,,,,,24.9,76.8,,,,,42.0,,,0.08,15.75,,,,,,,,47.0,,,0.0,0.0,,31.5,88.7,Database 2,3567.7261778808534
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,20.6,1.0,1.0,1.0,no change,,more,,0.0,5.0,24.99,0.68,1.0,,,,,25.3,77.5,,,,,,,,,,,,,24.9,76.8,,,,,42.0,,,0.08,15.75,,,,,,,,42.0,,,0.0,0.0,,31.5,88.7,Database 2,3471.0558804256434
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,22.0,1.0,-1.0,1.0,no change,,more,,0.0,5.0,25.26,0.72,1.0,,,,,25.3,77.5,,,,,,,,,,,,,24.9,76.8,,,,,42.0,,,0.08,15.75,,,,,,,,67.0,,,0.0,0.0,,31.5,88.7,Database 2,3391.8451557938693
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,23.6,1.0,0.0,1.0,no change,,more,,0.0,5.0,24.99,0.68,1.0,,,,,25.3,77.5,,,,,,,,,,,,,24.9,76.8,,,,,42.0,,,0.08,15.75,,,,,,,,57.0,,,0.0,0.0,,31.5,88.7,Database 2,3679.640680224588
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,22.0,1.0,-1.0,1.0,warmer,,no change,,-0.1,5.0,24.65,0.63,1.0,,,,,25.3,77.5,,,,,,,,,,,,,24.9,76.8,,,,,42.0,,,0.08,15.75,,,,,,,,64.0,,,0.0,0.0,,31.5,88.7,Database 2,3391.8451557938693
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,18.4,0.0,3.0,1.0,cooler,,more,,0.0,5.0,24.99,0.68,1.0,,,,,25.3,77.5,,,,,,,,,,,,,24.9,76.8,,,,,42.0,,,0.08,15.75,,,,,,,,54.0,,,0.0,0.0,,31.5,88.7,Database 2,3423.005668262532
