Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject height (cm),Subject weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database,BMI
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,28.4,0.0,1.0,0.0,cooler,,more,,1.2,36.0,28.86,0.72,1.0,,,,,28.6,83.5,,,,,,,,,,,,,28.6,83.5,,,,,42.0,,,0.05,9.84,,,,,,,,65.0,,,0.0,0.0,,30.4,86.7,Database 2,3746.524280457049
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,31.8,0.0,0.0,0.0,cooler,,more,,1.2,36.0,28.86,0.72,1.0,,,,,28.6,83.5,,,,,,,,,,,,,28.6,83.5,,,,,42.0,,,0.05,9.84,,,,,,,,71.0,,,0.0,0.0,,30.4,86.7,Database 2,3560.1841196777905
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,43.0,0.0,3.0,1.0,cooler,,more,,1.2,36.0,28.86,0.72,1.0,,,,,28.6,83.5,,,,,,,,,,,,,28.6,83.5,,,,,42.0,,,0.05,9.84,,,,,,,,69.0,,,0.0,0.0,,30.4,86.7,Database 2,3720.833866303157
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,32.4,0.0,2.0,0.0,cooler,,more,,1.2,36.0,28.86,0.72,1.0,,,,,28.6,83.5,,,,,,,,,,,,,28.6,83.5,,,,,42.0,,,0.05,9.84,,,,,,,,66.0,,,0.0,0.0,,30.4,86.7,Database 2,3961.1891925530936
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,43.0,0.0,3.0,0.0,cooler,,more,,1.2,33.0,28.51,0.66,1.0,,,,,28.6,83.5,,,,,,,,,,,,,28.6,83.5,,,,,42.0,,,0.05,9.84,,,,,,,,83.0,,,0.0,0.0,,30.4,86.7,Database 2,3720.833866303157
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,43.0,0.0,3.0,0.0,cooler,,no change,,1.2,36.0,28.86,0.72,1.0,,,,,28.6,83.5,,,,,,,,,,,,,28.6,83.5,,,,,42.0,,,0.05,9.84,,,,,,,,54.0,,,0.0,0.0,,30.4,86.7,Database 2,3720.833866303157
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.0,0.0,2.0,0.0,cooler,,more,,1.0,26.0,28.15,0.7,1.0,,,,,28.3,82.9,,,,,,,,,,,,,27.8,82.0,,,,,44.0,,,0.04,7.87,,,,,,,,72.0,,,0.0,0.0,,30.4,86.7,Database 2,4327.308276748807
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.0,0.0,2.0,1.0,cooler,,more,,1.0,27.0,28.27,0.72,1.0,,,,,28.3,82.9,,,,,,,,,,,,,27.8,82.0,,,,,44.0,,,0.04,7.87,,,,,,,,58.0,,,0.0,0.0,,30.4,86.7,Database 2,4327.308276748807
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,34.6,0.0,3.0,1.0,cooler,,more,,1.0,27.0,28.27,0.72,1.0,,,,,28.3,82.9,,,,,,,,,,,,,27.8,82.0,,,,,44.0,,,0.04,7.87,,,,,,,,61.0,,,0.0,0.0,,30.4,86.7,Database 2,3557.776143534132
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,35.4,0.0,0.0,1.0,no change,,no change,,1.0,27.0,28.27,0.72,1.0,,,,,28.3,82.9,,,,,,,,,,,,,27.8,82.0,,,,,44.0,,,0.04,7.87,,,,,,,,76.0,,,0.0,0.0,,30.4,86.7,Database 2,3403.5562771930427
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,28.2,0.0,1.0,1.0,cooler,,more,,1.0,27.0,28.27,0.72,1.0,,,,,28.3,82.9,,,,,,,,,,,,,27.8,82.0,,,,,44.0,,,0.04,7.87,,,,,,,,76.0,,,0.0,0.0,,30.4,86.7,Database 2,3925.4090178798215
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.0,0.0,2.0,1.0,cooler,,more,,0.9,24.0,27.91,0.66,1.0,,,,,28.3,82.9,,,,,,,,,,,,,27.8,82.0,,,,,44.0,,,0.04,7.87,,,,,,,,95.0,,,0.0,0.0,,30.4,86.7,Database 2,4327.308276748807
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,35.4,0.0,0.0,1.0,cooler,,more,,1.0,27.0,28.27,0.72,1.0,,,,,28.3,82.9,,,,,,,,,,,,,27.8,82.0,,,,,44.0,,,0.04,7.87,,,,,,,,72.0,,,0.0,0.0,,30.4,86.7,Database 2,3403.5562771930427
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.0,0.0,0.0,0.0,no change,,more,,0.6,12.0,26.93,0.72,1.0,,,,,27.1,80.8,,,,,,,,,,,,,26.6,79.9,,,,,42.0,,,0.08,15.75,,,,,,,,68.0,,,0.0,0.0,,30.4,86.7,Database 2,4132.291036634279
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,39.8,0.0,2.0,0.0,cooler,,more,,0.6,12.0,26.93,0.72,1.0,,,,,27.1,80.8,,,,,,,,,,,,,26.6,79.9,,,,,42.0,,,0.08,15.75,,,,,,,,85.0,,,0.0,0.0,,30.4,86.7,Database 2,3444.606315040004
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.0,0.0,0.0,1.0,cooler,,more,,0.6,12.0,26.93,0.72,1.0,,,,,27.1,80.8,,,,,,,,,,,,,26.6,79.9,,,,,42.0,,,0.08,15.75,,,,,,,,68.0,,,0.0,0.0,,30.4,86.7,Database 2,4132.291036634279
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,35.4,0.0,-1.0,0.0,warmer,,no change,,0.6,12.0,26.93,0.72,1.0,,,,,27.1,80.8,,,,,,,,,,,,,26.6,79.9,,,,,42.0,,,0.08,15.75,,,,,,,,50.0,,,0.0,0.0,,30.4,86.7,Database 2,3892.1806244023087
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.0,0.0,0.0,1.0,no change,,more,,0.6,12.0,26.93,0.72,1.0,,,,,27.1,80.8,,,,,,,,,,,,,26.6,79.9,,,,,42.0,,,0.08,15.75,,,,,,,,69.0,,,0.0,0.0,,30.4,86.7,Database 2,4132.291036634279
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,27.0,0.0,-2.0,0.0,warmer,,less,,0.6,12.0,26.93,0.72,1.0,,,,,27.1,80.8,,,,,,,,,,,,,26.6,79.9,,,,,42.0,,,0.08,15.75,,,,,,,,55.0,,,0.0,0.0,,30.4,86.7,Database 2,3759.479661035135
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,36.6,0.0,-1.0,1.0,no change,,no change,,0.7,15.0,27.76,0.64,1.0,,,,,27.0,80.6,,,,,,,,,,,,,27.8,82.0,,,,,43.0,,,0.14,27.56,,,,,,,,55.0,,,0.0,1.0,,30.4,86.7,Database 2,4111.264434676425
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,36.6,0.0,-1.0,1.0,warmer,,no change,,0.8,18.0,28.12,0.7,1.0,,,,,27.0,80.6,,,,,,,,,,,,,27.8,82.0,,,,,43.0,,,0.14,27.56,,,,,,,,60.0,,,0.0,1.0,,30.4,86.7,Database 2,4111.264434676425
